simulation,data_model,parameter,true_value,fitting_model,estimate_mean,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,b_for
24,Beverton-Holt,b_for,-0.63,Beverton-Holt,-0.64,-0.83,-0.45,1,1.5873015873015888,6.83,0.7,-0.63
24,Beverton-Holt,sigma,0.7,Beverton-Holt,0.64,0.52,0.8,1.001,-8.571428571428564,6.83,0.7,-0.63
26,Beverton-Holt,alpha,4.76,Ricker,0.52,0.11,0.93,1.002,-89.07563025210085,4.76,1.1,-0.98
26,Beverton-Holt,b_for,-0.98,Ricker,-0.73,-1.16,-0.32,1.001,-25.510204081632654,4.76,1.1,-0.98
26,Beverton-Holt,sigma,1.1,Ricker,1.2,0.97,1.5,1.002,9.090909090909078,4.76,1.1,-0.98
26,Beverton-Holt,alpha,4.76,Beverton-Holt,5.35,1.51,9.76,1.002,12.394957983193274,4.76,1.1,-0.98
26,Beverton-Holt,b_for,-0.98,Beverton-Holt,-0.74,-1.02,-0.45,1.001,-24.489795918367346,4.76,1.1,-0.98
26,Beverton-Holt,sigma,1.1,Beverton-Holt,0.92,0.74,1.15,1.001,-16.363636363636367,4.76,1.1,-0.98
29,Beverton-Holt,alpha,6.48,Ricker,0.29,0.04,0.57,1.002,-95.52469135802468,6.48,0.1,-1.61
29,Beverton-Holt,b_for,-1.61,Ricker,-0.93,-1.28,-0.54,1.003,-42.2360248447205,6.48,0.1,-1.61
29,Beverton-Holt,sigma,0.1,Ricker,0.91,0.74,1.14,1,810,6.48,0.1,-1.61
29,Beverton-Holt,alpha,6.48,Beverton-Holt,7.05,4.09,9.84,1.001,8.796296296296287,6.48,0.1,-1.61
29,Beverton-Holt,b_for,-1.61,Beverton-Holt,-1.63,-1.68,-1.59,1.001,1.2422360248447077,6.48,0.1,-1.61
29,Beverton-Holt,sigma,0.1,Beverton-Holt,0.14,0.11,0.17,1.003,40.00000000000001,6.48,0.1,-1.61
31,Beverton-Holt,alpha,6.24,Ricker,0.89,0.37,1.42,1.002,-85.73717948717949,6.24,1,0.11
31,Beverton-Holt,b_for,0.11,Ricker,-0.11,-0.43,0.21,1,-200,6.24,1,0.11
31,Beverton-Holt,sigma,1,Ricker,1.08,0.88,1.35,1.001,8.000000000000007,6.24,1,0.11
31,Beverton-Holt,alpha,6.24,Beverton-Holt,5.45,1.49,9.8,1.002,-12.66025641025641,6.24,1,0.11
31,Beverton-Holt,b_for,0.11,Beverton-Holt,-0.05,-0.34,0.23,1,-145.45454545454547,6.24,1,0.11
31,Beverton-Holt,sigma,1,Beverton-Holt,0.97,0.79,1.21,1.001,-3.0000000000000027,6.24,1,0.11
32,Beverton-Holt,alpha,5.96,Ricker,0.92,0.42,1.4,1.001,-84.56375838926175,5.96,1,0.64
32,Beverton-Holt,b_for,0.64,Ricker,0.13,-0.21,0.47,1.001,-79.6875,5.96,1,0.64
32,Beverton-Holt,sigma,1,Ricker,1.12,0.9,1.41,1,12.00000000000001,5.96,1,0.64
32,Beverton-Holt,alpha,5.96,Beverton-Holt,6.49,2.44,9.83,1.002,8.892617449664435,5.96,1,0.64
32,Beverton-Holt,b_for,0.64,Beverton-Holt,0.37,0.07,0.66,1.002,-42.1875,5.96,1,0.64
32,Beverton-Holt,sigma,1,Beverton-Holt,0.97,0.78,1.22,1.001,-3.0000000000000027,5.96,1,0.64
34,Beverton-Holt,alpha,6.56,Ricker,0.4,0.03,0.92,1.006,-93.90243902439023,6.56,1.3,-1.11
34,Beverton-Holt,b_for,-1.11,Ricker,-0.69,-1.23,-0.13,1.004,-37.837837837837846,6.56,1.3,-1.11
34,Beverton-Holt,sigma,1.3,Ricker,1.62,1.31,2.02,1.002,24.61538461538462,6.56,1.3,-1.11
34,Beverton-Holt,alpha,6.56,Beverton-Holt,6.55,2.95,9.78,1.002,-0.15243902439024065,6.56,1.3,-1.11
34,Beverton-Holt,b_for,-1.11,Beverton-Holt,-1.17,-1.49,-0.84,1,5.40540540540539,6.56,1.3,-1.11
34,Beverton-Holt,sigma,1.3,Beverton-Holt,1.1,0.89,1.37,1.001,-15.384615384615381,6.56,1.3,-1.11
35,Beverton-Holt,alpha,4.04,Ricker,0.52,0.19,0.88,1.001,-87.12871287128714,4.04,0.5,-1.19
35,Beverton-Holt,b_for,-1.19,Ricker,-1.08,-1.51,-0.68,1.001,-9.243697478991587,4.04,0.5,-1.19
35,Beverton-Holt,sigma,0.5,Ricker,1.01,0.81,1.27,1.001,102,4.04,0.5,-1.19
35,Beverton-Holt,alpha,4.04,Beverton-Holt,5.64,2.17,9.78,1.001,39.6039603960396,4.04,0.5,-1.19
35,Beverton-Holt,b_for,-1.19,Beverton-Holt,-1.23,-1.42,-1.05,1.001,3.361344537815129,4.04,0.5,-1.19
