simulation,data_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,b_for,alpha_estimate,sigma_estimate,b_for_estimate
39,Ricker,b_for,-0.16,Ricker,-0.17,-0.24,-0.11,1,6.250000000000005,2.72,0.2,-0.16,2.69,0.22,-0.17
39,Ricker,sigma,0.2,Ricker,0.22,0.18,0.27,1.001,9.999999999999995,2.72,0.2,-0.16,2.69,0.22,-0.17
39,Ricker,alpha,2.72,Beverton-Holt,6.06,2.96,9.79,1.002,122.7941176470588,2.72,0.2,-0.16,6.06,1.19,0.18
39,Ricker,b_for,-0.16,Beverton-Holt,0.18,-0.18,0.53,1,-212.5,2.72,0.2,-0.16,6.06,1.19,0.18
39,Ricker,sigma,0.2,Beverton-Holt,1.19,0.98,1.48,1,495,2.72,0.2,-0.16,6.06,1.19,0.18
40,Beverton-Holt,alpha,5.46,Ricker,0.52,0.07,1.11,1,-90.47619047619047,5.46,1.4,-0.37,0.52,1.86,-0.77
40,Beverton-Holt,b_for,-0.37,Ricker,-0.77,-1.37,-0.21,1,108.10810810810811,5.46,1.4,-0.37,0.52,1.86,-0.77
40,Beverton-Holt,sigma,1.4,Ricker,1.86,1.52,2.35,1.002,32.857142857142875,5.46,1.4,-0.37,0.52,1.86,-0.77
40,Beverton-Holt,alpha,5.46,Beverton-Holt,6.4,2.43,9.83,1,17.216117216117222,5.46,1.4,-0.37,6.4,1.44,-0.49
40,Beverton-Holt,b_for,-0.37,Beverton-Holt,-0.49,-0.9,-0.07,1,32.432432432432435,5.46,1.4,-0.37,6.4,1.44,-0.49
40,Beverton-Holt,sigma,1.4,Beverton-Holt,1.44,1.17,1.81,1,2.85714285714286,5.46,1.4,-0.37,6.4,1.44,-0.49
41,Beverton-Holt,alpha,4.04,Ricker,0.62,0.27,0.98,1.003,-84.65346534653466,4.04,0.8,0.76,0.62,0.78,0.19
41,Beverton-Holt,b_for,0.76,Ricker,0.19,-0.07,0.45,1.003,-75.00000000000001,4.04,0.8,0.76,0.62,0.78,0.19
41,Beverton-Holt,sigma,0.8,Ricker,0.78,0.64,0.98,1.003,-2.500000000000002,4.04,0.8,0.76,0.62,0.78,0.19
41,Beverton-Holt,alpha,4.04,Beverton-Holt,4.67,1.18,9.67,1.009,15.594059405940591,4.04,0.8,0.76,4.67,0.69,0.61
41,Beverton-Holt,b_for,0.76,Beverton-Holt,0.61,0.26,0.85,1.009,-19.73684210526316,4.04,0.8,0.76,4.67,0.69,0.61
41,Beverton-Holt,sigma,0.8,Beverton-Holt,0.69,0.57,0.88,1.001,-13.750000000000012,4.04,0.8,0.76,4.67,0.69,0.61
42,Ricker,alpha,1.2,Ricker,1.19,0.67,1.71,1,-0.8333333333333341,1.2,1.2,0.58,1.19,1.47,0.56
42,Ricker,b_for,0.58,Ricker,0.56,0.1,1.02,1,-3.4482758620689498,1.2,1.2,0.58,1.19,1.47,0.56
42,Ricker,sigma,1.2,Ricker,1.47,1.19,1.88,1,22.5,1.2,1.2,0.58,1.19,1.47,0.56
42,Ricker,alpha,1.2,Beverton-Holt,2.5,1.03,8.97,1.004,108.33333333333334,1.2,1.2,0.58,2.5,1.65,0.75
42,Ricker,b_for,0.58,Beverton-Holt,0.75,0.16,1.35,1.002,29.310344827586214,1.2,1.2,0.58,2.5,1.65,0.75
42,Ricker,sigma,1.2,Beverton-Holt,1.65,1.34,2.09,1.002,37.49999999999999,1.2,1.2,0.58,2.5,1.65,0.75
43,Ricker,alpha,0.37,Ricker,0.59,0.15,1.04,1.001,59.45945945945945,0.37,1.3,-0.54,0.59,1.35,-0.62
43,Ricker,b_for,-0.54,Ricker,-0.62,-1.04,-0.17,1.001,14.814814814814808,0.37,1.3,-0.54,0.59,1.35,-0.62
43,Ricker,sigma,1.3,Ricker,1.35,1.1,1.72,1,3.8461538461538494,0.37,1.3,-0.54,0.59,1.35,-0.62
43,Ricker,alpha,0.37,Beverton-Holt,1.47,0.42,5.73,1.001,297.29729729729735,0.37,1.3,-0.54,1.47,1.43,-0.57
43,Ricker,b_for,-0.54,Beverton-Holt,-0.57,-1,-0.12,1.001,5.555555555555539,0.37,1.3,-0.54,1.47,1.43,-0.57
43,Ricker,sigma,1.3,Beverton-Holt,1.43,1.16,1.83,1.002,9.999999999999991,0.37,1.3,-0.54,1.47,1.43,-0.57
44,Beverton-Holt,alpha,2.53,Ricker,0.6,0.27,0.93,1.001,-76.28458498023714,2.53,0.9,0.11,0.6,0.72,-0.02
44,Beverton-Holt,b_for,0.11,Ricker,-0.02,-0.24,0.21,1.001,-118.18181818181819,2.53,0.9,0.11,0.6,0.72,-0.02
44,Beverton-Holt,sigma,0.9,Ricker,0.72,0.59,0.91,1.001,-20.000000000000004,2.53,0.9,0.11,0.6,0.72,-0.02
44,Beverton-Holt,alpha,2.53,Beverton-Holt,1.75,0.67,8.86,1.001,-30.830039525691696,2.53,0.9,0.11,1.75,0.69,0.15
44,Beverton-Holt,b_for,0.11,Beverton-Holt,0.15,-0.11,0.42,1.001,36.36363636363636,2.53,0.9,0.11,1.75,0.69,0.15
44,Beverton-Holt,sigma,0.9,Beverton-Holt,0.69,0.56,0.87,1,-23.33333333333334,2.53,0.9,0.11,1.75,0.69,0.15
47,Beverton-Holt,alpha,1.58,Ricker,0.6,0.41,0.8,1.003,-62.025316455696206,1.58,0.2,0.52,0.6,0.21,0.25
47,Beverton-Holt,b_for,0.52,Ricker,0.25,0.14,0.36,1.003,-51.92307692307692,1.58,0.2,0.52,0.6,0.21,0.25
47,Beverton-Holt,sigma,0.2,Ricker,0.21,0.17,0.27,1,4.99999999999999,1.58,0.2,0.52,0.6,0.21,0.25
47,Beverton-Holt,alpha,1.58,Beverton-Holt,1.05,0.62,1.55,1.004,-33.54430379746835,1.58,0.2,0.52,1.05,0.2,0.39
47,Beverton-Holt,b_for,0.52,Beverton-Holt,0.39,0.23,0.55,1.005,-25,1.58,0.2,0.52,1.05,0.2,0.39
47,Beverton-Holt,sigma,0.2,Beverton-Holt,0.2,0.16,0.25,1.001,0,1.58,0.2,0.52,1.05,0.2,0.39
48,Beverton-Holt,alpha,4.12,Ricker,0.57,0.17,0.99,1.001,-86.16504854368932,4.12,0.9,-0.95,0.57,1.28,-0.51
