simulation,data_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,b_for,alpha_estimate,sigma_estimate,b_for_estimate
5,Beverton-Holt,b_for,-0.6134435035638361,Beverton-Holt,-0.24,-0.6,0.14,1,-60.876592774117604,3.5038040216371,1.0055304163995176,-0.6134435035638361,2.77,1.13,-0.24
5,Beverton-Holt,sigma,1.0055304163995176,Beverton-Holt,1.13,0.92,1.44,1.001,12.378500100093246,3.5038040216371,1.0055304163995176,-0.6134435035638361,2.77,1.13,-0.24
5,Beverton-Holt,alpha,3.5038040216371,Ricker,2,1.5,2.52,1,-42.91918190488491,3.5038040216371,1.0055304163995176,-0.6134435035638361,2,1.17,-0.13
5,Beverton-Holt,b_for,-0.6134435035638361,Ricker,-0.13,-0.49,0.23,1,-78.80815441931371,3.5038040216371,1.0055304163995176,-0.6134435035638361,2,1.17,-0.13
5,Beverton-Holt,sigma,1.0055304163995176,Ricker,1.17,0.95,1.49,1.001,16.356500103636375,3.5038040216371,1.0055304163995176,-0.6134435035638361,2,1.17,-0.13
6,Beverton-Holt,alpha,0.9313994414362747,Beverton-Holt,1.36,0.45,5.99,1.008,46.016836546820045,0.9313994414362747,0.9846430600185913,1.0186155863770399,1.36,1.07,0.86
6,Beverton-Holt,b_for,1.0186155863770399,Beverton-Holt,0.86,0.5,1.2,1,-15.571682634584038,0.9313994414362747,0.9846430600185913,1.0186155863770399,1.36,1.07,0.86
6,Beverton-Holt,sigma,0.9846430600185913,Beverton-Holt,1.07,0.88,1.36,1.001,8.66882055511539,0.9313994414362747,0.9846430600185913,1.0186155863770399,1.36,1.07,0.86
6,Beverton-Holt,alpha,0.9313994414362747,Ricker,0.71,0.27,1.18,1.001,-23.770622096880725,0.9313994414362747,0.9846430600185913,1.0186155863770399,0.71,1.03,0.93
6,Beverton-Holt,b_for,1.0186155863770399,Ricker,0.93,0.6,1.24,1.001,-8.699610290887382,0.9313994414362747,0.9846430600185913,1.0186155863770399,0.71,1.03,0.93
6,Beverton-Holt,sigma,0.9846430600185913,Ricker,1.03,0.85,1.3,1,4.606434739970886,0.9313994414362747,0.9846430600185913,1.0186155863770399,0.71,1.03,0.93
7,Beverton-Holt,alpha,1.1977271169089794,Beverton-Holt,1.41,0.93,1.98,1.001,17.722975466969586,1.1977271169089794,0.8538555700378057,-0.3262850076540331,1.41,0.79,-0.59
7,Beverton-Holt,b_for,-0.3262850076540331,Beverton-Holt,-0.59,-0.83,-0.34,1,80.82350894454501,1.1977271169089794,0.8538555700378057,-0.3262850076540331,1.41,0.79,-0.59
7,Beverton-Holt,sigma,0.8538555700378057,Beverton-Holt,0.79,0.64,0.99,1.001,-7.478497802032061,1.1977271169089794,0.8538555700378057,-0.3262850076540331,1.41,0.79,-0.59
