simulation,data_model,parameter,true_value,fitting_model,estimate_mean,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,b_for
35,Beverton-Holt,b_for,-1.19,Beverton-Holt,-1.24,-1.42,-1.06,1.002,4.201680672268911,3.18,0.5,-1.19
35,Beverton-Holt,sigma,0.5,Beverton-Holt,0.62,0.5,0.78,1.002,24,3.18,0.5,-1.19
36,Beverton-Holt,alpha,0.64,Ricker,0.13,0.01,0.29,1,-79.6875,0.64,0.3,-1.13
36,Beverton-Holt,b_for,-1.13,Ricker,-0.73,-0.93,-0.54,1,-35.39823008849557,0.64,0.3,-1.13
36,Beverton-Holt,sigma,0.3,Ricker,0.56,0.45,0.7,1,86.6666666666667,0.64,0.3,-1.13
36,Beverton-Holt,alpha,0.64,Beverton-Holt,0.65,0.46,0.85,1.001,1.5625000000000013,0.64,0.3,-1.13
36,Beverton-Holt,b_for,-1.13,Beverton-Holt,-1.1,-1.24,-0.96,1.001,-2.654867256637151,0.64,0.3,-1.13
36,Beverton-Holt,sigma,0.3,Beverton-Holt,0.32,0.26,0.41,1.001,6.666666666666673,0.64,0.3,-1.13
38,Ricker,alpha,0.98,Ricker,0.87,0.44,1.3,1,-11.224489795918366,0.98,1.2,0.3
38,Ricker,b_for,0.3,Ricker,0.31,-0.06,0.7,1,3.3333333333333366,0.98,1.2,0.3
38,Ricker,sigma,1.2,Ricker,1.24,1.01,1.56,1.002,3.3333333333333366,0.98,1.2,0.3
38,Ricker,alpha,0.98,Beverton-Holt,1.41,0.54,2.77,1,43.877551020408156,0.98,1.2,0.3
38,Ricker,b_for,0.3,Beverton-Holt,0.23,-0.2,0.65,1,-23.33333333333333,0.98,1.2,0.3
38,Ricker,sigma,1.2,Beverton-Holt,1.43,1.16,1.79,1.001,19.166666666666668,0.98,1.2,0.3
39,Ricker,alpha,0.18,Ricker,0.42,0.28,0.56,1.002,133.33333333333334,0.18,0.2,-0.16
39,Ricker,b_for,-0.16,Ricker,-0.25,-0.32,-0.17,1.001,56.25,0.18,0.2,-0.16
39,Ricker,sigma,0.2,Ricker,0.19,0.15,0.24,1.001,-5.000000000000004,0.18,0.2,-0.16
39,Ricker,alpha,0.18,Beverton-Holt,0.64,0.4,0.95,1.003,255.55555555555557,0.18,0.2,-0.16
39,Ricker,b_for,-0.16,Beverton-Holt,-0.24,-0.31,-0.18,1.003,49.99999999999999,0.18,0.2,-0.16
39,Ricker,sigma,0.2,Beverton-Holt,0.19,0.15,0.24,1,-5.000000000000004,0.18,0.2,-0.16
41,Beverton-Holt,alpha,1.75,Ricker,0.54,0.18,0.89,1.004,-69.14285714285714,1.75,0.8,0.76
41,Beverton-Holt,b_for,0.76,Ricker,0.28,0.01,0.55,1.003,-63.1578947368421,1.75,0.8,0.76
41,Beverton-Holt,sigma,0.8,Ricker,0.8,0.64,1,1,0,1.75,0.8,0.76
41,Beverton-Holt,alpha,1.75,Beverton-Holt,1.85,0.81,3.6,1.004,5.71428571428572,1.75,0.8,0.76
41,Beverton-Holt,b_for,0.76,Beverton-Holt,0.68,0.31,1.07,1,-10.52631578947368,1.75,0.8,0.76
41,Beverton-Holt,sigma,0.8,Beverton-Holt,0.71,0.57,0.89,1.001,-11.250000000000009,1.75,0.8,0.76
43,Beverton-Holt,alpha,2.14,Ricker,0.43,0.04,0.99,1.002,-79.90654205607477,2.14,1.3,-0.54
43,Beverton-Holt,b_for,-0.54,Ricker,-0.47,-1,0.06,1.001,-12.962962962962974,2.14,1.3,-0.54
43,Beverton-Holt,sigma,1.3,Ricker,1.8,1.46,2.25,1.001,38.46153846153846,2.14,1.3,-0.54
43,Beverton-Holt,alpha,2.14,Beverton-Holt,6.46,2.7,9.8,1,201.86915887850466,2.14,1.3,-0.54
43,Beverton-Holt,b_for,-0.54,Beverton-Holt,-0.7,-1.08,-0.32,1.001,29.629629629629616,2.14,1.3,-0.54
43,Beverton-Holt,sigma,1.3,Beverton-Holt,1.3,1.05,1.62,1.001,0,2.14,1.3,-0.54
44,Beverton-Holt,alpha,0.93,Ricker,0.38,0.09,0.66,1.001,-59.13978494623657,0.93,0.9,0.11
44,Beverton-Holt,b_for,0.11,Ricker,0.08,-0.14,0.3,1.001,-27.272727272727273,0.93,0.9,0.11
44,Beverton-Holt,sigma,0.9,Ricker,0.7,0.56,0.88,1.001,-22.22222222222223,0.93,0.9,0.11
44,Beverton-Holt,alpha,0.93,Beverton-Holt,0.54,0.15,1.05,1.002,-41.93548387096774,0.93,0.9,0.11
44,Beverton-Holt,b_for,0.11,Beverton-Holt,0.13,-0.1,0.36,1.002,18.181818181818187,0.93,0.9,0.11
44,Beverton-Holt,sigma,0.9,Beverton-Holt,0.69,0.56,0.87,1.003,-23.33333333333334,0.93,0.9,0.11
45,Beverton-Holt,alpha,1.33,Ricker,0.32,0.03,0.7,1.002,-75.93984962406014,1.33,1.2,0.55
45,Beverton-Holt,b_for,0.55,Ricker,-0.01,-0.38,0.35,1,-101.81818181818183,1.33,1.2,0.55
45,Beverton-Holt,sigma,1.2,Ricker,1.25,1.01,1.55,1.001,4.1666666666666705,1.33,1.2,0.55
45,Beverton-Holt,alpha,1.33,Beverton-Holt,0.72,0.09,1.82,1.064,-45.86466165413534,1.33,1.2,0.55
45,Beverton-Holt,b_for,0.55,Beverton-Holt,0.15,-0.27,0.67,1.056,-72.72727272727272,1.33,1.2,0.55
45,Beverton-Holt,sigma,1.2,Beverton-Holt,1.23,1.01,1.51,1.006,2.500000000000002,1.33,1.2,0.55
47,Beverton-Holt,alpha,1.76,Ricker,0.59,0.38,0.8,1.005,-66.47727272727273,1.76,0.2,0.52
