"Species","River","River_GFE_ID","GFE_ID","WATERSHED_CDE","DFO","CU","BroodYear","area_km2","ln_area_km2","ln_area_km2_std","Spawners","logS","Recruits","Returns","recruitPerSpawner","ln_RS","ECA_age_proxy","ECA_age_proxy_forested_only","ECA_age_proxy_forested_only_std","disturbedarea_m2_3005","disturbedarea_m2_cs","disturbedarea_prct_cs","lake_cover_pct","var_eaubc_KFACTOR","var_eaubc_MELTONS_R","vri_bec_zone","npgo","portion_reporting_vri_cover1_missing","hatchery_enhancement","year_of_enhacement","forested_area_m2","disturbedarea_m2_total","permament_dist_m2","X_LONG","Y_LAT","CU_NAME","distance","sst_ersst_lat","sst_ersst_lon","sst_ersst_year","spring_ersst","pdo","pdo.std"
"CM","LEINER RIVER","LEINER RIVER_1375",1375,"930-567600-00000-00000-0000-0000-000-000-000-000-000-000",25,"CM-10",1957,116.417960033773,4.75718681921775,0.721162913047491,1500,7.3132203870903,5759.15409348468,2784.15685342789,3.83943606232312,1.34532549704481,0.0298,0.0307,-0.508523176908947,0,7801771.97693783,13.051756465612,0.014,-1.29417,0.275436,"CWH",-0.327669103477235,9.77036556383024e-05,FALSE,FALSE,59775647.8026039,27584760.303822,214595.927250345,-126.643389,49.91188568,"SOUTHWEST VANCOUVER ISLAND",47.059281712462,50,-126,1958,13.1152784824371,0.864166666666667,1.37703255121344
"CM","LEINER RIVER","LEINER RIVER_1375",1375,"930-567600-00000-00000-0000-0000-000-000-000-000-000-000",25,"CM-10",1958,116.417960033773,4.75718681921775,0.721162913047491,3500,8.1605182474775,1469.08957412379,5663.71078356034,0.419739878321084,-0.868120096904066,0.0295,0.0302,-0.513211843208231,0,7801771.97693783,13.051756465612,0.014,-1.29417,0.275436,"CWH",-0.247814402527618,9.77036556383024e-05,FALSE,FALSE,59775647.8026039,27584760.303822,214595.927250345,-126.643389,49.91188568,"SOUTHWEST VANCOUVER ISLAND",47.059281712462,50,-126,1959,11.729495048523,0.274166666666667,0.629095988708956
"CM","LEINER RIVER","LEINER RIVER_1375",1375,"930-567600-00000-00000-0000-0000-000-000-000-000-000-000",25,"CM-10",1966,116.417960033773,4.75718681921775,0.721162913047491,6000,8.69951474821019,14756.2339206067,6000.15180384064,2.45937232010111,0.899906162956399,0.018,0.0162,-0.644494499588181,0,7821545.39851086,13.0848358588096,0.014,-1.29417,0.275436,"CWH",-0.657750014643652,9.77036556383024e-05,FALSE,FALSE,59775647.8026039,27584760.303822,214595.927250345,-126.643389,49.91188568,"SOUTHWEST VANCOUVER ISLAND",47.059281712462,50,-126,1967,11.5641579627991,-0.741666666666667,-0.658664844190714
"CM","LEINER RIVER","LEINER RIVER_1375",1375,"930-567600-00000-00000-0000-0000-000-000-000-000-000-000",25,"CM-10",1967,116.417960033773,4.75718681921775,0.721162913047491,1500,7.3132203870903,16817.1334082758,1500,11.2114222721839,2.4169331043424,0.0184,0.0168,-0.63886810002904,39105.6060824803,7860651.00459334,13.1502564899864,0.014,-1.29417,0.275436,"CWH",-0.480898092832995,9.77036556383024e-05,FALSE,FALSE,59775647.8026039,27584760.303822,214595.927250345,-126.643389,49.91188568,"SOUTHWEST VANCOUVER ISLAND",47.059281712462,50,-126,1968,11.3630263805389,-0.154166666666667,0.0861024955912936
"CM","LEINER RIVER","LEINER RIVER_1375",1375,"930-567600-00000-00000-0000-0000-000-000-000-000-000-000",25,"CM-10",1968,116.417960033773,4.75718681921775,0.721162913047491,5000,8.51719319141624,29678.9356148143,5000.49654930735,5.93578712296287,1.78099964318746,0.0178,0.0157,-0.649183165887465,0,7860651.00459334,13.1502564899864,0.014,-1.29417,0.275436,"CWH",-1.10132870525219,9.77036556383024e-05,FALSE,FALSE,59775647.8026039,27584760.303822,214595.927250345,-126.643389,49.91188568,"SOUTHWEST VANCOUVER ISLAND",47.059281712462,50,-126,1969,11.1909584999085,-0.344166666666667,-0.15475843131693
"CM","LEINER RIVER","LEINER RIVER_1375",1375,"930-567600-00000-00000-0000-0000-000-000-000-000-000-000",25,"CM-10",1969,116.417960033773,4.75718681921775,0.721162913047491,7500,8.9226582995244,21697.7309795698,7542.05584588258,2.89303079727598,1.06230467138358,0.0178,0.0157,-0.649183165887465,0,7860651.00459334,13.1502564899864,0.014,-1.29417,0.275436,"CWH",0.0967340123240834,9.77036556383024e-05,FALSE,FALSE,59775647.8026039,27584760.303822,214595.927250345,-126.643389,49.91188568,"SOUTHWEST VANCOUVER ISLAND",47.059281712462,50,-126,1970,11.173136472702,-0.404166666666667,-0.230819776656369
"CM","LEINER RIVER","LEINER RIVER_1375",1375,"930-567600-00000-00000-0000-0000-000-000-000-000-000-000",25,"CM-10",1970,116.417960033773,4.75718681921775,0.721162913047491,15000,9.61580548008435,15513.9312359701,18231.5395236921,1.03426208239801,0.0336882085710674,0.0178,0.0157,-0.649183165887465,0,7860651.00459334,13.1502564899864,0.014,-1.29417,0.275436,"CWH",0.105837096854404,9.77036556383024e-05,FALSE,FALSE,59775647.8026039,27584760.303822,214595.927250345,-126.643389,49.91188568,"SOUTHWEST VANCOUVER ISLAND",47.059281712462,50,-126,1971,10.5218324661255,-1.31583333333333,-1.38652966278618
"CM","LEINER RIVER","LEINER RIVER_1375",1375,"930-567600-00000-00000-0000-0000-000-000-000-000-000-000",25,"CM-10",1971,116.417960033773,4.75718681921775,0.721162913047491,13000,9.47270463644367,9035.6899615208,17416.6126548481,0.695053073963139,-0.363767070918447,0.0178,0.0157,-0.649183165887465,0,7860651.00459334,13.1502564899864,0.014,-1.29417,0.275436,"CWH",-0.340803929069053,9.77036556383024e-05,FALSE,FALSE,59775647.8026039,27584760.303822,214595.927250345,-126.643389,49.91188568,"SOUTHWEST VANCOUVER ISLAND",47.059281712462,50,-126,1972,11.1469044685364,-1.14416666666667,-1.16890970250945
"CM","LEINER RIVER","LEINER RIVER_1375",1375,"930-567600-00000-00000-0000-0000-000-000-000-000-000-000",25,"CM-10",1972,116.417960033773,4.75718681921775,0.721162913047491,17500,9.76995615991161,9435.43925961488,22204.2522010834,0.539167957692279,-0.617728146794696,0.0261,0.0306,-0.509460910168804,889361.209610368,8750012.21420371,14.6380884789383,0.014,-1.29417,0.275436,"CWH",-0.276282558741646,9.77036556383024e-05,FALSE,FALSE,59775647.8026039,27584760.303822,214595.927250345,-126.643389,49.91188568,"SOUTHWEST VANCOUVER ISLAND",47.059281712462,50,-126,1973,11.4391055107117,-1.13666666666667,-1.15940203434202
"CM","LEINER RIVER","LEINER RIVER_1375",1375,"930-567600-00000-00000-0000-0000-000-000-000-000-000-000",25,"CM-10",1973,116.417960033773,4.75718681921775,0.721162913047491,15000,9.61580548008435,3848.51031323328,21783.1529556844,0.256567354215552,-1.36036405930759,0.0206,0.0312,-0.503834510609664,442742.201686075,9192754.41588978,15.3787616760706,0.014,-1.29417,0.275436,"CWH",-0.203552314526649,9.77036556383024e-05,FALSE,FALSE,59775647.8026039,27584760.303822,214595.927250345,-126.643389,49.91188568,"SOUTHWEST VANCOUVER ISLAND",47.059281712462,50,-126,1974,11.2435989379883,-0.3025,-0.101938052608986
